Time,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Control Force
1740037146.702198,3.6506037466389595e-05,0.01340755120269156,-5.4780530760147205e-05,-0.020115903273545753,3.652173725233128
1740037146.7184527,5.27693812689742e-05,0.016263343802584602,-7.917789044941576e-05,-0.024397359689268556,3.652173725233128
1740037146.738725,7.187676597542695e-05,0.019107384706452762,-0.00010783814021124669,-0.02866024976183093,-0.22649742660633754
1740037146.7465608,9.072464501542031e-05,0.01884787903999336,-0.0001361018410371262,-0.0282637008258795,5.2489896261533096
1740037146.7534556,0.0001092457201764418,0.018521075161021486,-0.00016386850971339268,-0.027766668676266478,-0.31248625527227275
1740037146.7765582,0.00012744151627818752,0.018195796101745713,-0.00019114099274382355,-0.027272483030430873,-0.3985470425495683
1740037146.7854698,0.00014524494577613153,0.017803429497944008,-0.0002178191378704376,-0.026678145126614042,6.516907772642542
1740037146.791381,0.00016252974062408248,0.01728479484795094,-0.00024371398122704146,-0.025894843356603865,-0.559194372518768
1740037146.7932258,0.00017929821351256306,0.016768472888480573,-0.0002688296103599656,-0.02511562913292412,5.759155422324783
1740037146.7947924,0.0001955651882602497,0.01626697474768663,-0.0002931888799636954,-0.024359269603729798,-0.5434815721295303
1740037146.8237226,0.00028948721990231153,0.018784649308571075,-0.0004338330161620332,-0.02812292563290268,-0.5182142905618203
1740037146.830908,0.0003077830844149368,0.018295864512625274,-0.0004612201901112823,-0.02738717394924912,-0.5059514884281877
1740037146.833605,0.0003256021361620988,0.017819051747162033,-0.00048789020676266975,-0.0266700166513874,-0.5824358962021745
1740037146.8362124,0.0003429465177800252,0.017344381617926365,-0.0005138468899522816,-0.025956683189611855,16.644150202622328
1740037146.8383276,0.00035975738946142306,0.016810871681397895,-0.0005390025141454466,-0.02515562419316507,16.644150202622328
1740037146.884432,0.000405520176869125,0.029483055883037887,-0.000607539811010378,-0.04417856396572495,-0.5468970852840648
1740037146.888004,0.0004627921317298014,0.028354488084249837,-0.000693341840175319,-0.042476768749564305,-0.9255596290417385
1740037146.894235,0.0005178536785636868,0.027257046992809803,-0.0007758157064708164,-0.0408252102977177,-0.8893105756909232
1740037146.8992538,0.0005442639432202596,0.02641026465657284,-0.0008153690102385118,-0.03955330376769536,27.565611679174594
1740037146.9050527,0.0005698311847224962,0.025567241502236576,-0.0008536570139169805,-0.038288003678468754,27.565611679174594
1740037146.9109862,0.0005945591390629608,0.02472795434046461,-0.0008906862685426417,-0.03702925462566123,-0.8774498160547207
1740037146.9245439,0.0006185064096283725,0.023947270565411658,-0.0009265456633783995,-0.03585939483575777,17.401695886599438
1740037146.9274375,0.0006416764582842572,0.0231700486558847,-0.0009612412736019165,-0.034695610223516964,-0.7960785575440918
1740037146.956294,0.0006640727255493778,0.022396267265120524,-0.000994779123404693,-0.03353784980277669,25.499880417206146
1740037146.96789,0.0006857469555972839,0.021674230047906154,-0.0010272377243390899,-0.03245860093439678,-0.7769515076273523
1740037146.979326,0.0007231313693937359,0.037384413796451986,-0.0010832834622705725,-0.056045737931482584,-0.7401237027163813
1740037147.0003388,0.0007597764363448109,0.036645066951074966,-0.0011382185136465215,-0.054935051375948854,19.080576023096636
1740037147.0033593,0.000808439924414055,0.04866348806924406,-0.0012111940646648285,-0.07297555101830698,15.259917416049804
1740037147.0129747,0.0008556717833481035,0.047231858934048535,-0.0012820165783124146,-0.07082251364758625,-1.5505778549175437
1740037147.0278797,0.0009014783922543789,0.04580660890627537,-0.0013506973183181061,-0.06868074000569142,-1.5158462735330913
1740037147.0448384,0.000945866090927457,0.04438769867307822,-0.001417247454515353,-0.06655013619724683,-1.4811188298952946
1740037147.0616572,0.0009888965490288417,0.04303045810138469,-0.0014817611748983424,-0.0645137203829893,-1.4463947265296662
1740037147.0747938,0.0010305757982638107,0.041679249234968935,-0.0015442490939109857,-0.06248791901264338,-1.4133051205904106
1740037147.0800636,0.001070937513316695,0.04036171505288438,-0.0016047632864753904,-0.06051419256440472,8.737732493122543
1740037147.0817916,0.0011099875366972205,0.039050023380525496,-0.0016633140053855806,-0.058550718910190126,8.737732493122543
1740037147.1010861,0.00114773167489718,0.03774413819995936,-0.0017199114174086913,-0.056597412023110825,-1.3802185396610454
1740037147.1099217,0.0011922939250968224,0.04456225019964251,-0.0017867514556049473,-0.06684003819625597,-1.283418851225364
1740037147.113785,0.001243646276542283,0.051352351445460506,-0.0018637899815743884,-0.07703852596944112,23.514602818552277
1740037147.1343634,0.0013135402000211025,0.06989392347881954,-0.00196866458868368,-0.10487460710929171,23.514602818552277
1740037147.1576278,0.0014018990694401473,0.08835886941904478,-0.002101253437968862,-0.13258884928518186,12.549716759507806
1740037147.1900241,0.001488714115445181,0.0868150460050337,-0.002231516040620698,-0.13026260265183578,-2.2522093900410853
1740037147.1940358,0.0015866319865045025,0.09791787105932159,-0.0023784382255731176,-0.1469221849524196,-2.2522093900410853
1740037147.2127175,0.0016956072880248874,0.10897530152038488,-0.002541949007674974,-0.16351078210185638,-2.807252844272815
1740037147.2191858,0.00181559491004333,0.1199876220184427,-0.002721978093344864,-0.18002908566988995,-2.807252844272815
1740037147.2229648,0.0019328863847194334,0.11729147467610343,-0.0028979461345551246,-0.17596804121026058,2.822411292961868
1740037147.251599,0.0020474939767480453,0.11460759202861212,-0.0030698753508575094,-0.1719292163023846,-2.7752784934730417
1740037147.2759254,0.002374249847989661,0.10581515239269955,-0.00356002085773516,-0.15872309815773605,-3.1158724746003257
